"id;""pesid"";""data_inversa"";""dia_semana"";""horario"";""uf"";""br"";""km"";""municipio"";""causa_principal"";""causa_acidente"";""ordem_tipo_acidente"";""tipo_acidente"";""classificacao_acidente"";""fase_dia"";""sentido_via"";""condicao_metereologica"";""tipo_pista"";""tracado_via"";""uso_solo"";""id_veiculo"";""tipo_veiculo"";""marca"";""ano_fabricacao_veiculo"";""tipo_envolvido"";""estado_fisico"";""idade"";""sexo"";""ilesos"";""feridos_leves"";""feridos_graves"";""mortos"";""latitude"";""longitude"";""regional"";""delegacia"";""uop""",,,
"260031;578987;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";1;""Atropelamento de Animal"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Passageiro"";""Lesões Graves"";20;""Masculino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578986;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";1;""Atropelamento de Animal"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Passageiro"";""Lesões Graves"";16;""Feminino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578988;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";1;""Atropelamento de Animal"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Passageiro"";""Lesões Graves"";18;""Masculino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578991;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";1;""Atropelamento de Animal"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Passageiro"";""Lesões Graves"";17;""Feminino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578475;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";1;""Atropelamento de Animal"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Condutor"";""Lesões Graves"";33;""Feminino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578987;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";2;""Saída de leito carroçável"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Passageiro"";""Lesões Graves"";20;""Masculino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578986;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";2;""Saída de leito carroçável"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Passageiro"";""Lesões Graves"";16;""Feminino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578988;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";2;""Saída de leito carroçável"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Passageiro"";""Lesões Graves"";18;""Masculino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578991;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";2;""Saída de leito carroçável"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Passageiro"";""Lesões Graves"";17;""Feminino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
"260031;578475;2020-01-01;""quarta"";""01:00:00"";""TO"";153;678","1;""GURUPI"";""Sim"";""Animais na Pista"";2;""Saída de leito carroçável"";""Com Vítimas Feridas"";""Plena Noite"";""Crescente"";""Nublado"";""Simples"";""Reta"";""Não"";464101;""Automóvel"";""FIAT/SIENA ATTRACTIV 1.4"";2012;""Condutor"";""Lesões Graves"";33;""Feminino"";0;0;1;0;-11",77460203;-49,"10744996;""SR-TO"";""UOP01/TO"";"""""
